homeTeam,AwayTeam,hScore,aScore,hExpected,aExpected,resultProb,scoreProb
1. FSV Mainz 05,B. Moenchengladbach,1,1,2.037,0.532,18.5,8.3
VfL Wolfsburg,FC Augsburg,1,0,0.989,0.542,45.43,21.4
VfB Stuttgart,Arminia Bielefeld,0,1,2.243,1.224,19.91,3.8
Bochum,TSG Hoffenheim,2,0,1.703,0.881,56.81,10.9
Bayern Monachium,SC Freiburg,2,1,1.487,1.132,45.35,9.1
RB Lipsk,Borussia Dortmund,2,1,3.965,1.847,74.97,4.3
Hertha Berlin,Bayer Leverkusen,1,1,0.805,3.396,9.4,4.1
1. FC Koeln,1. FC Union Berlin,2,2,2.793,2.078,17.76,6.5
Furth,Eintracht Frankfurt,1,2,0.587,1.897,68.79,8.8
FC Augsburg,Bayern Monachium,2,1,1.305,7.286,0.81,0.1
TSG Hoffenheim,RB Lipsk,2,0,1.754,0.59,65.64,14.8
Borussia Dortmund,VfB Stuttgart,2,1,4.488,0.855,92.39,4.1
Bayer Leverkusen,Bochum,1,0,2.834,1.305,69.12,4.5
B. Moenchengladbach,Furth,4,0,3.651,0.719,88.83,9.4
Arminia Bielefeld,VfL Wolfsburg,2,2,0.435,2.72,11.01,1.5
1. FC Union Berlin,Hertha Berlin,2,0,2.656,1.309,66.13,6.7
1. FSV Mainz 05,1. FC Koeln,1,1,2.97,0.52,9.92,4.7
SC Freiburg,Eintracht Frankfurt,0,2,2.45,1.119,15.66,1.8
VfB Stuttgart,1. FSV Mainz 05,2,1,1.871,1.76,41.34,8.2
Bayern Monachium,Arminia Bielefeld,1,0,2.781,0.686,80.82,8.7
VfL Wolfsburg,Borussia Dortmund,1,3,0.977,1.914,59.27,6.3
Hertha Berlin,FC Augsburg,1,1,1.419,0.406,26.84,9.3
Furth,TSG Hoffenheim,3,6,0.853,1.886,61.71,0.0
1. FC Koeln,B. Moenchengladbach,4,1,2.338,1.1,64.96,4.4
Bochum,SC Freiburg,2,1,0.847,0.725,35.71,5.4
RB Lipsk,Bayer Leverkusen,1,3,2.311,2.377,41.69,4.8
Eintracht Frankfurt,1. FC Union Berlin,2,1,1.04,1.691,23.28,6.0
1. FC Union Berlin,RB Lipsk,2,1,1.168,0.539,51.45,6.7
Borussia Dortmund,Bayern Monachium,2,3,2.693,3.723,58.08,5.1
1. FSV Mainz 05,VfL Wolfsburg,3,0,1.314,1.087,41.78,3.4
